iter	Passed	Remaining
412	3343	4751
413	3349	4741
414	3355	4730
415	3363	4721
416	3370	4711
417	3377	4702
418	3384	4693
419	3392	4684
420	3398	4674
421	3406	4665
422	3413	4655
423	3420	4646
424	3427	4637
425	3434	4627
426	3440	4617
427	3447	4607
428	3453	4596
429	3461	4588
430	3469	4579
431	3476	4570
432	3483	4562
433	3491	4553
434	3498	4543
435	3504	4533
436	3510	4522
437	3517	4513
438	3524	4503
439	3531	4494
440	3538	4484
441	3544	4474
442	3551	4465
443	3558	4456
444	3565	4447
445	3573	4438
446	3580	4429
447	3587	4420
448	3595	4412
449	3602	4402
450	3608	4392
451	3615	4383
452	3622	4374
453	3629	4365
454	3636	4355
455	3642	4344
456	3648	4335
457	3656	4327
458	3664	4319
459	3671	4310
460	3679	4302
461	3686	4293
462	3693	4284
463	3700	4274
464	3706	4264
465	3713	4255
466	3720	4246
467	3727	4237
468	3734	4228
469	3740	4218
470	3746	4208
471	3754	4199
472	3761	4190
473	3769	4183
474	3777	4175
475	3786	4168
476	3796	4162
477	3806	4157
478	3814	4149
479	3823	4142
480	3830	4133
481	3836	4123
482	3843	4114
483	3852	4107
484	3859	4098
485	3867	4089
486	3873	4080
487	3880	4070
488	3886	4060
489	3893	4052
490	3901	4044
491	3908	4035
492	3915	4026
493	3922	4017
494	3929	4008
495	3935	3999
496	3942	3990
497	3948	3979
498	3955	3971
499	3962	3962
500	3969	3954
501	3976	3944
502	3983	3935
503	3990	3926
504	3997	3918
505	4004	3909
506	4012	3901
507	4019	3892
508	4026	3884
509	4033	3875
510	4040	3866
511	4047	3857
512	4053	3848
513	4061	3839
514	4069	3832
515	4077	3824
516	4085	3817
517	4094	3809
518	4101	3801
519	4110	3793
520	4122	3790
521	4130	3782
522	4140	3775
523	4148	3768
524	4156	3761
525	4165	3753
526	4174	3746
527	4183	3739
528	4191	3732
529	4200	3724
530	4209	3717
531	4218	3710
532	4228	3705
533	4238	3698
534	4246	3690
535	4255	3683
536	4263	3676
537	4272	3668
538	4280	3661
539	4289	3654
540	4299	3647
541	4307	3640
542	4316	3632
543	4323	3624
544	4331	3616
545	4339	3608
546	4350	3602
547	4358	3595
548	4368	3588
549	4378	3582
550	4386	3574
551	4395	3567
552	4403	3559
553	4412	3552
554	4421	3545
555	4430	3537
556	4438	3529
557	4446	3522
558	4454	3513
559	4462	3506
560	4472	3500
561	4481	3492
562	4489	3484
563	4498	3477
564	4508	3471
565	4518	3464
566	4527	3457
567	4536	3449
568	4546	3443
569	4552	3434
570	4560	3426
571	4571	3420
572	4580	3413
573	4587	3404
574	4596	3397
575	4605	3390
576	4615	3383
577	4624	3376
578	4632	3368
579	4641	3360
580	4650	3353
581	4658	3345
582	4667	3338
583	4675	3330
584	4683	3322
585	4692	3315
586	4702	3308
587	4710	3300
588	4720	3294
589	4729	3286
590	4738	3279
591	4747	3271
592	4756	3264
593	4767	3258
594	4774	3249
595	4780	3240
596	4788	3232
597	4799	3226
598	4807	3218
599	4816	3210
600	4823	3202
601	4832	3195
602	4841	3187
603	4848	3178
604	4857	3171
605	4866	3163
606	4873	3155
607	4882	3147
608	4890	3140
609	4899	3132
610	4907	3124
611	4915	3116
612	4924	3109
613	4932	3100
614	4941	3093
615	4950	3085
616	4959	3078
617	4971	3073
618	4979	3065
619	4990	3058
620	5000	3051
621	5013	3046
622	5023	3039
623	5031	3032
624	5041	3024
625	5052	3018
626	5062	3011
627	5071	3003
628	5079	2995
629	5087	2988
630	5095	2979
631	5102	2970
632	5110	2963
633	5119	2955
634	5128	2947
635	5135	2939
636	5144	2931
637	5153	2924
638	5162	2916
639	5171	2909
640	5180	2901
641	5188	2893
642	5196	2885
643	5205	2877
644	5213	2869
645	5221	2861
646	5230	2853
647	5237	2845
648	5245	2837
649	5254	2829
650	5262	2821
651	5271	2813
652	5278	2805
653	5289	2798
654	5298	2790
655	5307	2783
656	5316	2775
657	5324	2767
658	5331	2759
659	5340	2751
660	5349	2743
661	5358	2735
662	5367	2728
663	5375	2720
664	5384	2712
665	5393	2704
666	5403	2697
667	5413	2690
668	5423	2683
669	5430	2674
670	5440	2667
671	5449	2659
672	5462	2654
673	5472	2646
674	5481	2639
675	5490	2631
676	5498	2623
677	5511	2617
678	5522	2610
679	5531	2603
680	5544	2597
681	5553	2589
682	5561	2581
683	5569	2573
684	5578	2565
685	5586	2557
686	5595	2549
687	5603	2541
688	5611	2532
689	5618	2524
690	5628	2516
691	5637	2509
692	5647	2501
693	5657	2494
694	5666	2486
695	5673	2478
696	5681	2469
697	5690	2461
698	5699	2454
699	5708	2446
700	5717	2438
701	5726	2430
702	5735	2422
703	5744	2415
704	5752	2407
705	5761	2399
706	5772	2392
707	5781	2384
708	5787	2375
709	5797	2367
710	5804	2359
711	5812	2351
712	5820	2342
713	5828	2334
714	5837	2326
715	5844	2318
716	5850	2309
717	5860	2301
718	5867	2293
719	5874	2284
720	5882	2276
721	5891	2268
722	5898	2259
723	5906	2251
724	5914	2243
725	5922	2235
726	5930	2227
727	5939	2219
728	5947	2210
729	5955	2202
730	5963	2194
731	5971	2186
732	5980	2178
733	5989	2170
734	5997	2162
735	6005	2154
736	6013	2145
737	6021	2137
738	6029	2129
739	6038	2121
740	6050	2114
741	6058	2106
742	6067	2098
743	6075	2090
744	6083	2082
745	6090	2073
746	6100	2066
747	6108	2058
748	6118	2050
749	6124	2041
750	6131	2033
751	6140	2025
752	6148	2016
753	6158	2009
754	6169	2001
755	6180	1994
756	6191	1987
757	6202	1980
758	6211	1972
759	6219	1963
760	6229	1956
761	6237	1948
762	6245	1939
763	6255	1932
764	6264	1924
765	6273	1916
766	6284	1909
767	6294	1901
768	6303	1893
769	6312	1885
770	6322	1877
771	6334	1870
772	6350	1864
773	6361	1857
774	6369	1849
775	6376	1840
776	6384	1832
777	6393	1824
778	6401	1816
779	6408	1807
780	6414	1798
781	6423	1790
782	6434	1783
783	6444	1775
784	6455	1768
785	6464	1759
786	6473	1752
787	6482	1743
788	6490	1735
789	6499	1727
790	6508	1719
791	6518	1712
792	6531	1704
793	6545	1698
794	6555	1690
795	6563	1682
796	6573	1674
797	6584	1666
798	6595	1659
799	6605	1651
800	6615	1643
801	6624	1635
802	6634	1627
803	6643	1619
804	6652	1611
805	6661	1603
806	6671	1595
807	6682	1587
808	6691	1579
809	6699	1571
810	6708	1563
811	6718	1555
812	6727	1547
813	6734	1538
814	6742	1530
815	6751	1522
816	6759	1514
817	6768	1505
818	6776	1497
819	6786	1489
820	6801	1482
821	6813	1475
822	6819	1466
823	6828	1458
824	6837	1450
825	6847	1442
826	6857	1434
827	6866	1426
828	6875	1418
829	6884	1410
830	6893	1401
831	6902	1393
832	6915	1386
833	6923	1378
834	6932	1369
835	6941	1361
836	6949	1353
837	6959	1345
838	6966	1336
839	6975	1328
840	6981	1319
841	6987	1311
842	6993	1302
843	7000	1293
844	7009	1285
845	7017	1277
846	7026	1269
847	7033	1260
848	7042	1252
849	7050	1244
850	7059	1235
851	7067	1227
852	7075	1219
853	7082	1210
854	7090	1202
855	7097	1194
856	7106	1185
857	7120	1178
858	7128	1170
859	7136	1161
860	7144	1153
861	7157	1145
862	7168	1138
863	7184	1130
864	7195	1122
865	7205	1114
866	7214	1106
867	7223	1098
868	7232	1090
869	7242	1082
870	7250	1073
871	7258	1065
872	7266	1057
873	7274	1048
874	7281	1040
875	7289	1031
876	7296	1023
877	7303	1014
878	7310	1006
879	7317	997
880	7324	989
881	7332	980
882	7339	972
883	7349	964
884	7359	956
885	7367	947
886	7380	940
887	7389	931
888	7395	923
889	7401	914
890	7409	906
891	7415	897
892	7423	889
893	7430	881
894	7436	872
895	7444	864
896	7451	855
897	7457	847
898	7463	838
899	7470	830
900	7477	821
901	7485	813
902	7494	805
903	7501	796
904	7509	788
905	7515	779
906	7521	771
907	7528	762
908	7534	754
909	7541	745
910	7547	737
911	7553	728
912	7560	720
913	7568	712
914	7574	703
915	7582	695
916	7590	687
917	7596	678
918	7603	670
919	7609	661
920	7615	653
921	7621	644
922	7628	636
923	7635	628
924	7642	619
925	7648	611
926	7654	602
927	7660	594
928	7667	586
929	7673	577
930	7680	569
931	7686	560
932	7692	552
933	7699	544
934	7706	535
935	7713	527
936	7720	519
937	7727	510
938	7733	502
939	7740	494
940	7747	485
941	7753	477
942	7760	469
943	7767	460
944	7774	452
945	7781	444
946	7787	435
947	7794	427
948	7801	419
949	7809	411
950	7817	402
951	7826	394
952	7834	386
953	7843	378
954	7850	369
955	7858	361
956	7865	353
957	7873	345
958	7883	337
959	7894	328
960	7904	320
961	7912	312
962	7919	304
963	7929	296
964	7937	287
965	7945	279
966	7952	271
967	7958	263
968	7966	254
969	7973	246
970	7979	238
971	7985	230
972	7991	221
973	7998	213
974	8006	205
975	8013	197
976	8019	188
977	8026	180
978	8033	172
979	8038	164
980	8045	155
981	8052	147
982	8059	139
983	8065	131
984	8071	122
985	8078	114
986	8085	106
987	8091	98
988	8098	90
989	8104	81
990	8110	73
991	8118	65
992	8125	57
993	8132	49
994	8138	40
995	8144	32
996	8151	24
997	8159	16
998	8166	8
999	8172	0
